ID,specialite,recodage_specialite
285,Mécanique,autre
288,,
374,éthologie,autre
417,Psychologie,psychologie
446,Physique fondamentale,physique 
463,géographie,géographie
486,Sociologie,sociologie
506,,
515,physique théorique (mécanique statistique/ problème à N corps quantique) ,physique 
519,Physique stochastique expérimentale,physique 
522,Préhistoire récente,autre
530,Economie,autre
534,Sociologie,sociologie
556,Histoire économique,histoire
563,"Physiologie, Biologie cellulaire et moléculaire",autre
584,géographie,géographie
593,microbiologie,biologie
597,Hydraulique,autre
606,biochimie,biologie
609,physique quantique,physique 
611,Macro-économie,autre
618,Génie Electrique,autre
626,Géographie,géographie
636,"Bio ingéniérie, neurosciences",biologie
645,psychologie,psychologie
649,Analyse d'images,autre
661,,
672,Optimisation mathématique,autre
682,chimie,chimie
694,traitement d'images,autre
697,,
708,Psychologie sociale et du travail,psychologie
714,biologie moléculaire,biologie
719,physique du composant à semiconducteur,physique 
735,,
742,neurosciences,autre
743,,
745,HYDROLOGIE et informatique,autre
752,"microbiologie, infectiologie, biologie cellulaire",biologie
781,chimie organique,chimie
790,Nanochimie,chimie
791,Paléomagnétisme,autre
793,Chimie-biologie,autre
802,biologie vegetale,biologie
805,Minéralogie - Cristallographie - Pétrologie,autre
820,Ingénierie système et sciences du numérique,autre
823,Economie Publique,autre
829,Analyses physico-chimiques,autre
830,Neurosciences,autre
834,Economie théorique,autre
838,Biologie moléculaire - Etudes structure fonction - ,biologie
847,astrophysique,autre
848,,
868,Chimie Analytique,chimie
879,chimie organique,chimie
885,Génie Industriel et Intelligence artificielle,autre
886,,
890,physique des plasmas,physique 
893,électrochimie,chimie
898,,
908,Sciences des matériaux,autre
911,chimie du solide,chimie
924,maintenance prédictive (61e section CNU),autre
927,,
931,pharmacologie,autre
942,Materiaux,autre
955,Expert en instrumentation et data science,autre
965,Sciences des matériaux,autre
968,recherche opérationnelle,autre
974,Métallurgie,autre
978,Economie comportementale et expérimentale,autre
983,Physiopathologie,autre
984,économie,autre
985,,
987,Biologie comportement animal,biologie
994,,
995,Statistiques appliquées,autre
996,génétique,autre
997,chimie,chimie
1001,"Chimie-physique, nanosciences et nanotechnologies",autre
1018,"matériaux, polymères, lumière",autre
1020,Matériaux,autre
1022,Physique,physique 
1028,Caractérisation de matériaux,autre
1031,Physique des surfaces,physique 
1039,Biologie moléculaire,biologie
1044,biochimie,biologie
1048,,
1050,Matériaux céramiques,autre
1055,,
1059,actuariat,autre
1061,biologie moléculaire,biologie
1062,"Physique expérimentale et théorique, optique",physique 
1074,,
1085,,
1088,Chimie des matériaux,chimie
1100,Psychologie sociale et du travail,psychologie
1101,Chimie analytique,chimie
1104,psychologie,psychologie
1107,Enzymologie,autre
1123,Science des matériaux,autre
1128,plasmas froids,autre
1130,neurosciences,autre
1136,spectroscopie optique,autre
1139,méthodes de séparation basées sur les propriétés chimique et physiques,autre
1147,Psychologie cognitive,psychologie
1154,Transferts hydro-sédimentaires,autre
1170,Psychologie cognitive,psychologie
1176,calcul scientifique,autre
1184,agronomie,autre
1189,"Biochimie, biologie moléculaire",biologie
1205,ecotoxicologie,autre
1211,gestion de données et statistiques ,autre
32,"Géographie, archéologie, histoire, sociologie, informatique",autre
33,Sculpture médiévale et édition numérique ,autre
40,Géographie et documentation,géographie
47,linguistique,linguistique
60,,
103,SIC,autre
118,sociologie,sociologie
128,géographie,géographie
242,géomatique,autre
244,Sociologie,sociologie
262,bio-imagerie,biologie
273,psychologie différentielle interculturelle,psychologie
276,Sociologie,sociologie
293,Histoire économique,histoire
297,,
315,archéologie,archéologie
320,Archéologie,archéologie
324,Génétique,autre
326,Bibliométrie-scientométrie,autre
328,"Sociologie, histoire",autre
333,géographie humaine,géographie
355,Histoire,histoire
361,Histoire,histoire
379,spectroscopie,autre
386,sciences du langage,linguistique
445,Histoire médiévale,histoire
457,astronomie,autre
495,linguistique,linguistique
532,géomatique,autre
538,physique ,physique 
541,physico-chimie,autre
543,géographie humaine,géographie
586,"Etudes anglophones, études shakespeariennes, histoire du livre, de la lecture, manuscrits du 16ème siècle",histoire
621,,
639,Gestion des connaissances,autre
650,Cancérologie,autre
684,mathématiques appliqués,autre
686,sciences du langage,linguistique
693,Physique des Hautes Energies,physique 
696,océanographie,autre
701,Sciences du Langage,linguistique
707,"Astronomie, planétologie",autre
730,neurosciences cognitives et écologie comportementale,autre
738,information communication,autre
740,"Histoire ancienne, archéologie",autre
754,Anthropologie,autre
757,Science des matériaux,autre
758,Modélisation et Analyse de données,autre
770,sciences du langage,linguistique
775,traitement des signaux et des images,autre
778,physique fondamentale,physique 
779,,
806,,
835,Management de projets complexes,autre
852,Intelligence Artificielle,autre
883,,
884,neurosciences cognitives,autre
888,Histoire des faits économique,histoire
906,histoire,histoire
920,,
952,information Scientifique et Technique,autre
959,,
972,informatique linguistique,linguistique
1034,Archéologie,archéologie
1041,Langue et littérature,autre
1045,Linguistique,linguistique
1070,,
1086,"linguistique textuelle, analyse des données textuelles, textométrie",linguistique
1087,Sciences de l'information et de la communication,autre
1119,Maladies infectieuses ,autre
1148,sciences du language et didactique des langues,linguistique
1156,"sociologie, science politique",sociologie
1210,histoire,histoire
